SppID,Species,Pollinator,PairMatch,Species2,Salvia
AniQWr_1,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
AniQWr_2,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
AniQWr_3,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
AniQWr_4,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
AniQWr_7,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
AniQWr_8,AniQWr_1,BIRD,4,Anisacanthus quadrifidus,NO
PhysVir_3,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_11,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_12,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_13,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_14,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_20,PhysVir_3,BEE,NA,Physostegia virginiana,NO
PhysVir_10,PhysVir_3,BEE,NA,Physostegia virginiana,NO
RueBrit_10,RueBrit_4,BEE,4,Ruellia brittoniana,NO
RueBrit_19,RueBrit_4,BEE,4,Ruellia brittoniana,NO
RueBrit_20,RueBrit_4,BEE,4,Ruellia brittoniana,NO
RueBrit_21,RueBrit_4,BEE,4,Ruellia brittoniana,NO
RueBrit_22,RueBrit_4,BEE,4,Ruellia brittoniana,NO
SalAzu_10,SalAzu_5,BEE,1,Salvia azurea,SALVIA
SalAzu_11,SalAzu_5,BEE,1,Salvia azurea,SALVIA
SalAzu_12,SalAzu_5,BEE,1,Salvia azurea,SALVIA
SalBall_1,SalBall_6,BEE,3,Salvia ballotiflora,SALVIA
SalBall_2,SalBall_6,BEE,3,Salvia ballotiflora,SALVIA
SalBall_3,SalBall_6,BEE,3,Salvia ballotiflora,SALVIA
SalBall_4,SalBall_6,BEE,3,Salvia ballotiflora,SALVIA
SalBall_5,SalBall_6,BEE,3,Salvia ballotiflora,SALVIA
SalBle_2,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_20,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_22,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_23,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_5,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_SB1,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_SBW5,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalBle_SBW6,SalBle_7,BIRD,2,Salvia blepharophylla,SALVIA
SalChio_1,SalChio_8,BEE,2,Salvia chionophylla,SALVIA
SalChio_6,SalChio_8,BEE,2,Salvia chionophylla,SALVIA
SalChio_8,SalChio_8,BEE,2,Salvia chionophylla,SALVIA
SalCoc_1,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_10,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_11,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_2,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_3,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_4,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_5,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalCoc_6,SalCoc_9,BIRD,1,Salvia coccinea,SALVIA
SalDar_1,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_10,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_11,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_12,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_14,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_15,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_2,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_20,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalDar_3,SalDar_10,BIRD,NA,Salvia darcyi,SALVIA
SalFar_10,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_11,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_12,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_13,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_14,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_15,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_18,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_2,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_20,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalFar_3,SalFar_11,BEE,NA,Salvia farinacea,SALVIA
SalGreg_1,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_10,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_2,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_3,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_4,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_5,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_7,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalGreg_8,SalGre_12,BIRD,NA,Salvia greggii,SALVIA
SalLeu_20,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_21,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_22,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_23,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_25,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_26,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalLeu_5,SalLeu_13,BEE,NA,Salvia leucantha,SALVIA
SalMic_1,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_2,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_3,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_4,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_5,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_7,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalMic_8,SalMic_14,BIRD,NA,Salvia microphylla,SALVIA
SalReg_B1,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_FM15,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_W2,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalReg_W4,SalReg_15,BIRD,3,Salvia regla,SALVIA
SalRoe_1,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_3,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_4,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_5,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_6,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalRoe_7,SalRoe_16,BIRD,NA,Salvia roemeriana,SALVIA
SalSin_B6,SalSin_20,BEE,NA,Salvia sinaloensis,SALVIA
SalSin_B2,SalSin_21,BEE,NA,Salvia sinaloensis,SALVIA
SalSin_4,SalSin_20,BEE,NA,Salvia sinaloensis,SALVIA
ScutSuf_2,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_20,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_5,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_8,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B1,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B2,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutSuf_B3,ScutSuff_18,BIRD,5,Scutellaria suffrutescens,NO
ScutWrit_1,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWrit_2,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_4,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_5,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScutWri_6,ScutWri_19,BEE,5,Scutellaria wrightii,NO
ScuWri_9,ScutWri_19,BEE,5,Scutellaria wrightii,NO
StaCoc_2,StaCoc_21,BIRD,NA,Stachys coccinea,NO
StaCoc_3,StaCoc_21,BIRD,NA,Stachys coccinea,NO