,Row.Names,NMDS1,NMDS2,Pollinator,species2,species3,Salvia,species4
Anisacanthus.quadrifidus,Anisacanthus.quadrifidus,-0.748324195,-0.054017385,Bird,Anisacanthus quadrifidus,Anisacanthus.quadrifidus,NO,Anisacanthus_quadrifidus
Physostegia.virginiana,Physostegia.virginiana,-0.067000098,-0.271559715,Bee,Physostegia virginiana,Physostegia.virginiana,NO,Physostegia_virginiana
Ruellia.brittoniana,Ruellia.brittoniana,-0.110093005,0.026078679,Bee,Ruellia brittoniana,Ruellia.brittoniana,NO,Ruellia_brittoniana
Salvia.azurea,Salvia.azurea,-0.02129377,0.040184978,Bee,Salvia azurea,Salvia.azurea,YES,Salvia_azurea
Salvia.ballotiflora,Salvia.ballotiflora,0.094149487,0.247995105,Bee,Salvia ballotiflora,Salvia.ballotiflora,YES,Salvia_ballotiflora
Salvia.blepharophylla,Salvia.blepharophylla,-0.023373889,0.126755909,Bird,Salvia blepharophylla,Salvia.blepharophylla,YES,Salvia_blepharophylla
Salvia.chionophylla,Salvia.chionophylla,0.028467546,0.033470588,Bee,Salvia chionophylla,Salvia.chionophylla,YES,Salvia_chionophylla
Salvia.coccinea,Salvia.coccinea,0.020931532,0.032393628,Bird,Salvia coccinea,Salvia.coccinea,YES,Salvia_coccinea
Salvia.darcyi,Salvia.darcyi,-0.020437238,-0.047248327,Bird,Salvia darcyi,Salvia.darcyi,YES,Salvia_darcyi
Salvia.farinacea,Salvia.farinacea,0.070340784,0.001352583,Bee,Salvia farinacea,Salvia.farinacea,YES,Salvia_farinacea
Salvia.greggii,Salvia.greggii,0.171509167,0.109066132,Bird,Salvia greggii,Salvia.greggii,YES,Salvia_greggii
Salvia.leucantha,Salvia.leucantha,0.035224182,-0.01120379,Bee,Salvia leucantha,Salvia.leucantha,YES,Salvia_leucantha
Salvia.microphylla,Salvia.microphylla,0.052158555,0.065311029,Bird,Salvia microphylla,Salvia.microphylla,YES,Salvia_microphylla
Salvia.regla,Salvia.regla,-0.113233025,0.259237447,Bird,Salvia regla,Salvia.regla,YES,Salvia_regla
Salvia.roemeriana,Salvia.roemeriana,0.242060997,0.033686337,Bird,Salvia roemeriana,Salvia.roemeriana,YES,Salvia_roemeriana
Salvia.sinaloensis,Salvia.sinaloensis,0.07455983,-0.002272141,Bee,Salvia sinaloensis,Salvia.sinaloensis,YES,Salvia_sinaloensis
Scutellaria.suffrutescens,Scutellaria.suffrutescens,0.153119926,-0.294511422,Bird,Scutellaria suffrutescens,Scutellaria.suffrutescens,NO,scutellaria_suffrutescens
Scutellaria.wrightii,Scutellaria.wrightii,0.216855804,-0.182082231,Bee,Scutellaria wrightii,Scutellaria.wrightii,NO,Scutellaria_wrightii
Stachys.coccinea,Stachys.coccinea,-0.055622589,-0.112637403,Bird,Stachys coccinea,Stachys.coccinea,NO,Stachys_coccinea