Row.Names,NMDS1,NMDS2,Pollinator,species2,Salvia
SalAzu_1,-0.01071585,-0.025140418,BEE,Salvia azurea,Salvia
SalAzu_10,-0.175947703,-0.076447176,BEE,Salvia azurea,Salvia
SalAzu_11,-0.111953884,-0.016133534,BEE,Salvia azurea,Salvia
SalAzu_12,-0.060240289,0.083111886,BEE,Salvia azurea,Salvia
SalAzu_2,0.148762947,0.094767389,BEE,Salvia azurea,Salvia
SalBall_1,-0.12473078,0.114458699,BEE,Salvia ballotiflora,Salvia
SalBall_2,-0.239205919,0.219842465,BEE,Salvia ballotiflora,Salvia
SalBall_3,-0.243250498,0.211922959,BEE,Salvia ballotiflora,Salvia
SalBall_4,-0.204128808,0.178074906,BEE,Salvia ballotiflora,Salvia
SalBall_5,-0.243044002,0.183417551,BEE,Salvia ballotiflora,Salvia
SalBle_1,0.320633119,-0.000812652,BIRD,Salvia blepharophylla,Salvia
SalBle_10,0.295391126,-0.07501245,BIRD,Salvia blepharophylla,Salvia
SalBle_20,0.128402878,-0.001097354,BIRD,Salvia blepharophylla,Salvia
SalBle_21,0.224611331,-0.053410848,BIRD,Salvia blepharophylla,Salvia
SalBle_22,0.336639609,-0.038285068,BIRD,Salvia blepharophylla,Salvia
SalBle_23,0.302978653,-0.039094275,BIRD,Salvia blepharophylla,Salvia
SalBle_24,0.27671816,-0.010474968,BIRD,Salvia blepharophylla,Salvia
SalBle_5,0.275638957,-0.069058279,BIRD,Salvia blepharophylla,Salvia
SalBle_SB1,0.26558527,-0.102741677,BIRD,Salvia blepharophylla,Salvia
SalBle_SBW5,0.235875168,-0.033690068,BIRD,Salvia blepharophylla,Salvia
SalBle_SBW6,0.236546205,-0.028213036,BIRD,Salvia blepharophylla,Salvia
SalChio_1,0.005227319,0.088073847,BEE,Salvia chionophylla,Salvia
SalChio_11,0.046860161,0.098472111,BEE,Salvia chionophylla,Salvia
SalChio_2,-0.046752645,0.008347597,BEE,Salvia chionophylla,Salvia
SalChio_3,-0.005837903,0.026310028,BEE,Salvia chionophylla,Salvia
SalChio_4,0.043214148,0.068983364,BEE,Salvia chionophylla,Salvia
SalChio_5,0.007820191,0.086460327,BEE,Salvia chionophylla,Salvia
SalChio_6,-0.015521434,0.016493777,BEE,Salvia chionophylla,Salvia
SalChio_7,0.013193042,0.069783182,BEE,Salvia chionophylla,Salvia
SalChio_8,-0.022907212,0.019125747,BEE,Salvia chionophylla,Salvia
SalCoc_1,0.024917253,0.074757396,BIRD,Salvia coccinea,Salvia
SalCoc_10,-0.008897244,0.039467375,BIRD,Salvia coccinea,Salvia
SalCoc_11,-0.027619504,0.048199052,BIRD,Salvia coccinea,Salvia
SalCoc_2,0.009483383,0.016541415,BIRD,Salvia coccinea,Salvia
SalCoc_3,0.032356909,0.030510374,BIRD,Salvia coccinea,Salvia
SalCoc_4,0.018833446,0.025160299,BIRD,Salvia coccinea,Salvia
SalCoc_5,-0.000872582,0.043190427,BIRD,Salvia coccinea,Salvia
SalCoc_6,-0.104871628,0.003757272,BIRD,Salvia coccinea,Salvia
SalDar_1,-0.080162158,-0.232536114,BIRD,Salvia darcyi,Salvia
SalDar_11,-0.04134079,-0.224904506,BIRD,Salvia darcyi,Salvia
SalDar_12,-0.064041556,-0.276473382,BIRD,Salvia darcyi,Salvia
SalDar_13,0.009277561,-0.204084801,BIRD,Salvia darcyi,Salvia
SalDar_14,-0.042992203,-0.123450353,BIRD,Salvia darcyi,Salvia
SalDar_15,-0.024405541,-0.13018495,BIRD,Salvia darcyi,Salvia
SalDar_2,0.018816312,-0.258039864,BIRD,Salvia darcyi,Salvia
SalDar_20,-0.073548957,-0.126268208,BIRD,Salvia darcyi,Salvia
SalDar_3,-0.037628624,-0.216685981,BIRD,Salvia darcyi,Salvia
SalDar_4,-0.02520694,-0.080285116,BIRD,Salvia darcyi,Salvia
SalDar_6,0.025399928,-0.190295129,BIRD,Salvia darcyi,Salvia
SalFar_1,0.057456078,0.013969797,BEE,Salvia farinacea,Salvia
SalFar_10,0.029822127,-0.07533704,BEE,Salvia farinacea,Salvia
SalFar_12,0.020357967,-0.092557471,BEE,Salvia farinacea,Salvia
SalFar_13,0.044446385,-0.052728786,BEE,Salvia farinacea,Salvia
SalFar_2,0.04055054,0.004675296,BEE,Salvia farinacea,Salvia
SalFar_20,0.055593243,-0.060914271,BEE,Salvia farinacea,Salvia
SalFar_3,-0.005481465,0.083626809,BEE,Salvia farinacea,Salvia
SalFar_4,-0.039785452,0.092648209,BEE,Salvia farinacea,Salvia
SalFar_5,-0.020492449,0.152469659,BEE,Salvia farinacea,Salvia
SalFar_6,-0.076261716,0.173302286,BEE,Salvia farinacea,Salvia
SalFar_7,0.041775303,0.036773273,BEE,Salvia farinacea,Salvia
SalFar_8,0.057517627,0.030416099,BEE,Salvia farinacea,Salvia
SalFar_X1,0.101595545,-0.070818318,BEE,Salvia farinacea,Salvia
SalFar_X2,0.067570373,0.007295407,BEE,Salvia farinacea,Salvia
SalFar_X3,0.106017571,0.02179562,BEE,Salvia farinacea,Salvia
SalGreg_1,0.206054219,-0.344285065,BIRD,Salvia greggii,Salvia
SalGreg_10,0.050912609,-0.337595466,BIRD,Salvia greggii,Salvia
SalGreg_2,0.085475796,-0.25208687,BIRD,Salvia greggii,Salvia
SalGreg_3,0.059869784,-0.167892438,BIRD,Salvia greggii,Salvia
SalGreg_4,0.112442869,-0.245561405,BIRD,Salvia greggii,Salvia
SalGreg_5,0.076548906,-0.453343287,BIRD,Salvia greggii,Salvia
SalGreg_6,-0.092176985,0.487747347,BIRD,Salvia greggii,Salvia
SalGreg_7,0.097012692,-0.27846211,BIRD,Salvia greggii,Salvia
SalGreg_8,0.276248091,-0.248222172,BIRD,Salvia greggii,Salvia
SalLeu_20,0.142916259,0.038306517,BEE,Salvia leucantha,Salvia
SalLeu_21,0.075944807,-0.072922072,BEE,Salvia leucantha,Salvia
SalLeu_22,0.102012556,-0.004970961,BEE,Salvia leucantha,Salvia
SalLeu_23,0.091725531,-0.056469335,BEE,Salvia leucantha,Salvia
SalLeu_26,0.049713759,-0.031404519,BEE,Salvia leucantha,Salvia
SalLeu_5,0.115643599,0.052802584,BEE,Salvia leucantha,Salvia
SalMic_1,-0.219313058,0.049086852,BIRD,Salvia microphylla,Salvia
SalMic_4,-0.038157424,-0.009319642,BIRD,Salvia microphylla,Salvia
SalMic_6,-0.052831625,-0.030122631,BIRD,Salvia microphylla,Salvia
SalMic_B5,-0.200165803,0.325238162,BIRD,Salvia microphylla,Salvia
SalMic_B6,-0.125695913,0.074699644,BIRD,Salvia microphylla,Salvia
SalReg_10,-0.379359356,-0.100396914,BIRD,Salvia regla,Salvia
SalReg_B1,-0.288671085,-0.102756263,BIRD,Salvia regla,Salvia
SalReg_FM10,-0.398152503,-0.149892204,BIRD,Salvia regla,Salvia
SalReg_FM15,-0.311977324,-0.071959367,BIRD,Salvia regla,Salvia
SalReg_W1,-0.516028841,-0.096659377,BIRD,Salvia regla,Salvia
SalReg_W2,-0.40712666,-0.112440294,BIRD,Salvia regla,Salvia
SalReg_W3,-0.20484814,-0.062167955,BIRD,Salvia regla,Salvia
SalReg_W4,-0.278328653,-0.091918505,BIRD,Salvia regla,Salvia
SalReg_W5,-0.319730884,-0.095686795,BIRD,Salvia regla,Salvia
SalReg_W6,-0.647968566,-0.184856367,BIRD,Salvia regla,Salvia
SalRoe_1,0.088315351,0.329960448,BIRD,Salvia roemeriana,Salvia
SalRoe_2,0.120300546,0.307930383,BIRD,Salvia roemeriana,Salvia
SalRoe_3,0.046251726,0.332658593,BIRD,Salvia roemeriana,Salvia
SalRoe_4,0.058937627,0.283417231,BIRD,Salvia roemeriana,Salvia
SalRoe_5,0.118403122,0.328254513,BIRD,Salvia roemeriana,Salvia
SalRoe_6,0.028448135,0.413477924,BIRD,Salvia roemeriana,Salvia
SalRoe_7,0.104033562,0.299934711,BIRD,Salvia roemeriana,Salvia
SalRoe_8,0.059568902,0.327506106,BIRD,Salvia roemeriana,Salvia
SalSin_1,0.082140192,0.063547365,BEE,Salvia sinaloensis,Salvia
SalSin_2,0.051306111,0.043779521,BEE,Salvia sinaloensis,Salvia
SalSin_3,0.097437826,0.084359065,BEE,Salvia sinaloensis,Salvia
SalSin_4,0.051876302,0.021043483,BEE,Salvia sinaloensis,Salvia
SalSin_5,0.066349303,0.058846143,BEE,Salvia sinaloensis,Salvia
SalSin_6,0.089109873,-0.018873024,BEE,Salvia sinaloensis,Salvia
SalSin_7,0.050811145,0.151588226,BEE,Salvia sinaloensis,Salvia
SalSin_8,0.068493553,0.042194552,BEE,Salvia sinaloensis,Salvia
SalSin_BW101,0.008187971,0.022859863,BEE,Salvia sinaloensis,Salvia