	Anisacanthus.quadrifidus	Physostegia.virginiana	Ruellia.brittoniana	Salvia.azurea	Salvia.ballotiflora	Salvia.blepharophylla	Salvia.chionophylla	Salvia.coccinea	Salvia.darcyi	Salvia.farinacea	Salvia.greggii	Salvia.leucantha	Salvia.microphylla	Salvia.regla	Salvia.roemeriana	Salvia.sinaloensis	Scutellaria.suffrutescens	Scutellaria.wrightii	Stachys.coccinea
Anisacanthus.quadrifidus	0.0	0.9997945842466445	0.9997770192337317	0.9995310319835604	0.9999088729854521	0.9996872293373905	0.9999408464537295	0.9969660614399899	0.9997129770190318	0.9854444562357125	0.9247024771635498	0.9978928953697227	0.9994803423831464	0.9973197470228476	0.7059835212279726	1.0	0.999615320082026	0.9084289113155545	0.9898704692819775
Physostegia.virginiana	0.9997945842466445	0.0	0.917265782952153	1.0	1.0	1.0	1.0	1.0	0.15373275762369842	0.4890342713733008	0.3430805944936107	1.0	0.31260643654078657	1.0	0.8841359250630839	1.0	1.0	0.4783185776141946	0.9804966830548177
Ruellia.brittoniana	0.9997770192337317	0.917265782952153	0.0	0.9966543940681483	0.9993499021900508	0.8416497403673158	0.9565591706219032	0.9783559592820287	0.9013198006268501	0.8623837738942939	0.8831474048017073	0.9849679690235399	0.882070951239001	0.9808791432573519	0.946635480717632	1.0	0.9750254519817912	0.8563589660012018	1.0
Salvia.azurea	0.9995310319835604	1.0	0.9966543940681483	0.0	0.6104464845188282	0.8281538460596513	0.35407171993846176	0.9321361959104522	0.9935798069195061	0.9625352963703778	0.9973426060298904	0.9528678208220392	0.9455163869292094	0.940047512711896	1.0	1.0	0.9925320318719668	0.9166629581947305	1.0
Salvia.ballotiflora	0.9999088729854521	1.0	0.9993499021900508	0.6104464845188282	0.0	0.9981517963744281	0.6725016218192337	0.9777189545690564	0.9978921220874509	0.9917665768560109	0.999189322535484	0.9861706982527737	0.9962274071103127	0.9803163982496224	1.0	1.0	0.9985488698239731	0.8595766290591864	1.0
Salvia.blepharophylla	0.9996872293373905	1.0	0.8416497403673158	0.8281538460596513	0.9981517963744281	0.0	0.8122461668075939	0.9384668062024274	0.9941787085127355	0.9717408364021987	0.9975904984939618	0.9572645012408602	0.9071374863061696	0.9456401233553368	1.0	1.0	0.99501935897999	1.0	1.0
Salvia.chionophylla	0.9999408464537295	1.0	0.9565591706219032	0.35407171993846176	0.6725016218192337	0.8122461668075939	0.0	0.984310563044303	0.998515715174957	0.9946554138821688	0.9994737625593731	0.9910229447891933	0.997551085710787	0.9861395808522203	1.0	1.0	0.999058023612011	0.9614766806494051	1.0
Salvia.coccinea	0.9969660614399899	1.0	0.9783559592820287	0.9321361959104522	0.9777189545690564	0.9384668062024274	0.984310563044303	0.0	0.9063720323584207	0.723821868455043	0.9730096982598704	0.5395739448169115	0.8743971247601917	0.12569147540171433	1.0	1.0	0.9516867767644716	1.0	1.0
Salvia.darcyi	0.9997129770190318	0.15373275762369842	0.9013198006268501	0.9935798069195061	0.9978921220874509	0.9941787085127355	0.998515715174957	0.9063720323584207	0.0	0.37814146145384697	0.22725186296958644	0.9564418144072051	0.18360512729754153	0.9108139100111653	0.8648708186665657	1.0	0.9954293717295333	0.45117941919121496	1.0
Salvia.farinacea	0.9854444562357125	0.4890342713733008	0.8623837738942939	0.9625352963703778	0.9917665768560109	0.9717408364021987	0.9946554138821688	0.723821868455043	0.37814146145384697	0.0	0.2753509533978796	0.8096208449734383	0.2486560397112083	0.7578362793590709	0.7423766712638019	1.0	0.9733283358604174	0.26607736652117764	1.0
Salvia.greggii	0.9247024771635498	0.3430805944936107	0.8831474048017073	0.9973426060298904	0.999189322535484	0.9975904984939618	0.9994737625593731	0.9730096982598704	0.22725186296958644	0.2753509533978796	0.0	0.9819707509895795	0.08497388335718192	0.9761561300064753	0.7519056079096328	1.0	0.9981081628148455	0.3128442943884948	1.0
Salvia.leucantha	0.9978928953697227	1.0	0.9849679690235399	0.9528678208220392	0.9861706982527737	0.9572645012408602	0.9910229447891933	0.5395739448169115	0.9564418144072051	0.8096208449734383	0.9819707509895795	0.0	0.9211375240990568	0.5932487488609937	1.0	1.0	0.9664459202552652	1.0	1.0
Salvia.microphylla	0.9994803423831464	0.31260643654078657	0.882070951239001	0.9455163869292094	0.9962274071103127	0.9071374863061696	0.997551085710787	0.8743971247601917	0.18360512729754153	0.2486560397112083	0.08497388335718192	0.9211375240990568	0.0	0.8890394536205538	0.8402754583870833	1.0	0.991724837549444	0.35127867735896046	1.0
Salvia.regla	0.9973197470228476	1.0	0.9808791432573519	0.940047512711896	0.9803163982496224	0.9456401233553368	0.9861395808522203	0.12569147540171433	0.9108139100111653	0.7578362793590709	0.9761561300064753	0.5932487488609937	0.8890394536205538	0.0	1.0	1.0	0.9573189575689958	1.0	1.0
Salvia.roemeriana	0.7059835212279726	0.8841359250630839	0.946635480717632	1.0	1.0	1.0	1.0	1.0	0.8648708186665657	0.7423766712638019	0.7519056079096328	1.0	0.8402754583870833	1.0	0.0	1.0	1.0	0.6233533425943198	1.0
Salvia.sinaloensis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
Scutellaria.suffrutescens	0.999615320082026	1.0	0.9750254519817912	0.9925320318719668	0.9985488698239731	0.99501935897999	0.999058023612011	0.9516867767644716	0.9954293717295333	0.9733283358604174	0.9981081628148455	0.9664459202552652	0.991724837549444	0.9573189575689958	1.0	1.0	0.0	0.9382162428829567	1.0
Scutellaria.wrightii	0.9084289113155545	0.4783185776141946	0.8563589660012018	0.9166629581947305	0.8595766290591864	1.0	0.9614766806494051	1.0	0.45117941919121496	0.26607736652117764	0.3128442943884948	1.0	0.35127867735896046	1.0	0.6233533425943198	1.0	0.9382162428829567	0.0	1.0
Stachys.coccinea	0.9898704692819775	0.9804966830548177	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
